index,congresistas,votos,partidos,asunto,fecha
66,CHAIÑA CONTRERAS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
67,QUISPE SUÁREZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
68,CHAVARRÍA VILCATOMA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
69,RAMOS ZAPANA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
70,CHÁVEZ COSSÍO,NO,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
71,RAYME MARÍN —,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
72,CHECCO CHAUCA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
73,RETAMOZO LEZAMA —,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
74,[CHEHADE MOYA — |,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
75,RIVAS OCEJO -,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
76,COLUMBUS MURATA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
77,RIVERA GUERRA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
78,COMBINA SALVATIERRA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
79,RODAS MALCA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
80,CONDORÍ FLORES,SI,"APP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
81,RUBIOGARIZA — ,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
82,CONTRERAS BAUTISTA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
83, RUIZ PINEDO —,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
84,COSTA SANTOLALLA,LICENCIA/AUSENTE,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
85, ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
86,DE BELAUNDE DE CÁRDENAS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
87, SALINAS LÓPEZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
88,DIOSES GUZMÁN,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
89,SÁNCHEZLUIS —,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
90,DURAND BUSTAMANTE,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
91,SANTILLANA PAREDES,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
92,ESPINOZA ROSALES,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
93,SILUPÚ INGA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
94,ESPINOZA VELARDE,LICENCIA/AUSENTE,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
95,SILVA SANTISTEBAN MANRIQUE,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
96,FABIÁN DÍAZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
97,SIMEÓN HURTADO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
98,FERNÁNDEZ CHACÓN,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
99,SOLÍS GUTIÉRREZ _,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
100,FLORES VILLEGAS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
101,ORTEGA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
102,GALLARDO BECERRA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
103,TOCTO GUERRERO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
104,GARCÍA OVIEDO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
105,TROYES DELGADO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
106,GARCÍA RODRÍGUEZ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
107,TRUJILLO ZEGARRA ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
108,GONZALES SANTOS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
109, URRESTI ELERA ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
110,GONZALES TUANAMA ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
111, VALDEZ FARÍAS ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
112, GONZÁLEZCRUZ —,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
113, VALER COLLADO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
114,GUIBOVICH ARTEAGA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
115,VÁSQUEZ BECERRA ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
116,GUPIOC RÍOS,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
117, VÁSQUEZ TAN ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
118,GUTARRA RAM OS,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
119, ANTONIO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
120,HIDALGO ZAMALLOA,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
121,|VERDE HEIDINGER _ |  ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
122,HUAMÁN CHAMPI,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
123,  |v¡eo GUTIÉRREZ | ,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
124,HUAMANI MACHACA,SI,"FREPAP
"," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
125, VIVANCO REYES,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
126,INGA SALES |,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
127,YUPANQUI MIÑANO,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
128,1LA20 VILLÓN |,LICENCIA/AUSENTE,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
129,WZÁRA_TE_ANTÓN |,SI,," 

 

ASUNTO: Moción de Orden del Día 13287 (Admisión a debate), que propone conformar una comisión multipartidaria, con la participación de cada grupo
parlamentario, la cual se encargará de realizar las coordinaciones con los distintos actores, sectores involucrados y el Poder Ejecutivo; a fin de elaborar una
iniciativa legislativa sobre una nueva Ley General de Régimen Agrario en un plazo de hasta quince (15) días calendario.

— *

  
 

 
",04-12-20
